"parents","n","labels","id"
"Argentina",2,"Adult","Argentina  -  Adult"
"Argentina",103,"Adventure","Argentina  -  Adventure"
"Argentina",57,"Animation","Argentina  -  Animation"
"Argentina",11,"Biography","Argentina  -  Biography"
"Argentina",184,"Comedy","Argentina  -  Comedy"
"Argentina",135,"Crime","Argentina  -  Crime"
"Argentina",15,"Documentary","Argentina  -  Documentary"
"Argentina",409,"Drama","Argentina  -  Drama"
"Argentina",14,"Family","Argentina  -  Family"
"Argentina",37,"Fantasy","Argentina  -  Fantasy"
"Argentina",6,"History","Argentina  -  History"
"Argentina",34,"Horror","Argentina  -  Horror"
"Argentina",34,"Music","Argentina  -  Music"
"Argentina",51,"Mystery","Argentina  -  Mystery"
"Argentina",142,"Romance","Argentina  -  Romance"
"Argentina",12,"Sci Fi","Argentina  -  Sci Fi"
"Argentina",6,"Sport","Argentina  -  Sport"
"Argentina",82,"Thriller","Argentina  -  Thriller"
"Argentina",4,"War","Argentina  -  War"
"Argentina",3,"Western","Argentina  -  Western"
"Australia",189,"Action","Australia  -  Action"
"Australia",2,"Adult","Australia  -  Adult"
"Australia",137,"Adventure","Australia  -  Adventure"
"Australia",56,"Animation","Australia  -  Animation"
"Australia",13,"Biography","Australia  -  Biography"
"Australia",191,"Comedy","Australia  -  Comedy"
"Australia",145,"Crime","Australia  -  Crime"
"Australia",25,"Documentary","Australia  -  Documentary"
"Australia",290,"Drama","Australia  -  Drama"
"Australia",43,"Family","Australia  -  Family"
"Australia",54,"Fantasy","Australia  -  Fantasy"
"Australia",7,"Game Show","Australia  -  Game Show"
"Australia",7,"History","Australia  -  History"
"Australia",28,"Horror","Australia  -  Horror"
"Australia",2,"Music","Australia  -  Music"
"Australia",48,"Mystery","Australia  -  Mystery"
"Australia",1,"News","Australia  -  News"
"Australia",28,"Reality TV","Australia  -  Reality TV"
"Australia",79,"Romance","Australia  -  Romance"
"Australia",55,"Sci Fi","Australia  -  Sci Fi"
"Australia",11,"Sport","Australia  -  Sport"
"Australia",1,"Talk Show","Australia  -  Talk Show"
"Australia",60,"Thriller","Australia  -  Thriller"
"Australia",8,"War","Australia  -  War"
"Australia",6,"Western","Australia  -  Western"
"Austria",197,"Action","Austria  -  Action"
"Austria",4,"Adult","Austria  -  Adult"
"Austria",140,"Adventure","Austria  -  Adventure"
"Austria",37,"Animation","Austria  -  Animation"
"Austria",16,"Biography","Austria  -  Biography"
"Austria",190,"Comedy","Austria  -  Comedy"
"Austria",167,"Crime","Austria  -  Crime"
"Austria",26,"Documentary","Austria  -  Documentary"
"Austria",314,"Drama","Austria  -  Drama"
"Austria",45,"Family","Austria  -  Family"
"Austria",65,"Fantasy","Austria  -  Fantasy"
"Austria",6,"Game Show","Austria  -  Game Show"
"Austria",6,"History","Austria  -  History"
"Austria",36,"Horror","Austria  -  Horror"
"Austria",3,"Music","Austria  -  Music"
"Austria",57,"Mystery","Austria  -  Mystery"
"Austria",12,"Reality TV","Austria  -  Reality TV"
"Austria",84,"Romance","Austria  -  Romance"
"Austria",27,"Sci Fi","Austria  -  Sci Fi"
"Austria",12,"Sport","Austria  -  Sport"
"Austria",79,"Thriller","Austria  -  Thriller"
"Austria",3,"War","Austria  -  War"
"Austria",1,"Western","Austria  -  Western"
"Bahamas",184,"Action","Bahamas  -  Action"
"Bahamas",3,"Adult","Bahamas  -  Adult"
"Bahamas",101,"Adventure","Bahamas  -  Adventure"
"Bahamas",77,"Animation","Bahamas  -  Animation"
"Bahamas",12,"Biography","Bahamas  -  Biography"
"Bahamas",189,"Comedy","Bahamas  -  Comedy"
"Bahamas",142,"Crime","Bahamas  -  Crime"
"Bahamas",14,"Documentary","Bahamas  -  Documentary"
"Bahamas",300,"Drama","Bahamas  -  Drama"
"Bahamas",46,"Family","Bahamas  -  Family"
"Bahamas",43,"Fantasy","Bahamas  -  Fantasy"
"Bahamas",5,"Game Show","Bahamas  -  Game Show"
"Bahamas",3,"History","Bahamas  -  History"
"Bahamas",33,"Horror","Bahamas  -  Horror"
"Bahamas",1,"Music","Bahamas  -  Music"
"Bahamas",36,"Mystery","Bahamas  -  Mystery"
"Bahamas",9,"Reality TV","Bahamas  -  Reality TV"
"Bahamas",73,"Romance","Bahamas  -  Romance"
"Bahamas",23,"Sci Fi","Bahamas  -  Sci Fi"
"Bahamas",7,"Sport","Bahamas  -  Sport"
"Bahamas",88,"Thriller","Bahamas  -  Thriller"
"Bahamas",2,"War","Bahamas  -  War"
"Bahrain",206,"Action","Bahrain  -  Action"
"Bahrain",3,"Adult","Bahrain  -  Adult"
"Bahrain",112,"Adventure","Bahrain  -  Adventure"
"Bahrain",36,"Animation","Bahrain  -  Animation"
"Bahrain",18,"Biography","Bahrain  -  Biography"
