"label","n","parent","id"
"Action",17624,NA,"Action"
"Adult",234,NA,"Adult"
"Adventure",10927,NA,"Adventure"
"Animation",4709,NA,"Animation"
"Biography",1103,NA,"Biography"
"Comedy",17632,NA,"Comedy"
"Crime",12931,NA,"Crime"
"Documentary",1539,NA,"Documentary"
"Drama",31197,NA,"Drama"
"Family",2268,NA,"Family"
"Fantasy",4398,NA,"Fantasy"
"Film Noir",2,NA,"Film Noir"
"Game Show",469,NA,"Game Show"
"History",439,NA,"History"
"Horror",2956,NA,"Horror"
"Music",947,NA,"Music"
"Musical",151,NA,"Musical"
"Mystery",4447,NA,"Mystery"
"News",3,NA,"News"
"Reality TV",947,NA,"Reality TV"
"Romance",9774,NA,"Romance"
"Sci Fi",2855,NA,"Sci Fi"
"Sport",600,NA,"Sport"
"Talk Show",23,NA,"Talk Show"
"Thriller",6554,NA,"Thriller"
"War",337,NA,"War"
"Western",153,NA,"Western"
"Argentina",133,"Action","Action  -  Argentina"
"Argentina",2,"Adult","Adult  -  Argentina"
"Argentina",103,"Adventure","Adventure  -  Argentina"
"Argentina",57,"Animation","Animation  -  Argentina"
"Argentina",11,"Biography","Biography  -  Argentina"
"Argentina",184,"Comedy","Comedy  -  Argentina"
"Argentina",135,"Crime","Crime  -  Argentina"
"Argentina",15,"Documentary","Documentary  -  Argentina"
"Argentina",409,"Drama","Drama  -  Argentina"
"Argentina",14,"Family","Family  -  Argentina"
"Argentina",37,"Fantasy","Fantasy  -  Argentina"
"Argentina",6,"History","History  -  Argentina"
"Argentina",34,"Horror","Horror  -  Argentina"
"Argentina",34,"Music","Music  -  Argentina"
"Argentina",51,"Mystery","Mystery  -  Argentina"
"Argentina",142,"Romance","Romance  -  Argentina"
"Argentina",12,"Sci Fi","Sci Fi  -  Argentina"
"Argentina",6,"Sport","Sport  -  Argentina"
"Argentina",82,"Thriller","Thriller  -  Argentina"
"Argentina",4,"War","War  -  Argentina"
"Argentina",3,"Western","Western  -  Argentina"
"Australia",189,"Action","Action  -  Australia"
"Australia",2,"Adult","Adult  -  Australia"
"Australia",137,"Adventure","Adventure  -  Australia"
"Australia",56,"Animation","Animation  -  Australia"
"Australia",13,"Biography","Biography  -  Australia"
"Australia",191,"Comedy","Comedy  -  Australia"
"Australia",145,"Crime","Crime  -  Australia"
"Australia",25,"Documentary","Documentary  -  Australia"
"Australia",290,"Drama","Drama  -  Australia"
"Australia",43,"Family","Family  -  Australia"
"Australia",54,"Fantasy","Fantasy  -  Australia"
"Australia",7,"Game Show","Game Show  -  Australia"
"Australia",7,"History","History  -  Australia"
"Australia",28,"Horror","Horror  -  Australia"
"Australia",2,"Music","Music  -  Australia"
"Australia",48,"Mystery","Mystery  -  Australia"
"Australia",1,"News","News  -  Australia"
"Australia",28,"Reality TV","Reality TV  -  Australia"
"Australia",79,"Romance","Romance  -  Australia"
"Australia",55,"Sci Fi","Sci Fi  -  Australia"
"Australia",11,"Sport","Sport  -  Australia"
"Australia",1,"Talk Show","Talk Show  -  Australia"
"Australia",60,"Thriller","Thriller  -  Australia"
"Australia",8,"War","War  -  Australia"
"Australia",6,"Western","Western  -  Australia"
"Austria",197,"Action","Action  -  Austria"
"Austria",4,"Adult","Adult  -  Austria"
"Austria",140,"Adventure","Adventure  -  Austria"
"Austria",37,"Animation","Animation  -  Austria"
"Austria",16,"Biography","Biography  -  Austria"
"Austria",190,"Comedy","Comedy  -  Austria"
"Austria",167,"Crime","Crime  -  Austria"
"Austria",26,"Documentary","Documentary  -  Austria"
"Austria",314,"Drama","Drama  -  Austria"
"Austria",45,"Family","Family  -  Austria"
"Austria",65,"Fantasy","Fantasy  -  Austria"
"Austria",6,"Game Show","Game Show  -  Austria"
"Austria",6,"History","History  -  Austria"
"Austria",36,"Horror","Horror  -  Austria"
"Austria",3,"Music","Music  -  Austria"
"Austria",57,"Mystery","Mystery  -  Austria"
"Austria",12,"Reality TV","Reality TV  -  Austria"
"Austria",84,"Romance","Romance  -  Austria"
"Austria",27,"Sci Fi","Sci Fi  -  Austria"
"Austria",12,"Sport","Sport  -  Austria"
"Austria",79,"Thriller","Thriller  -  Austria"
"Austria",3,"War","War  -  Austria"
"Austria",1,"Western","Western  -  Austria"
"Bahamas",184,"Action","Action  -  Bahamas"
"Bahamas",3,"Adult","Adult  -  Bahamas"
"Bahamas",101,"Adventure","Adventure  -  Bahamas"
"Bahamas",77,"Animation","Animation  -  Bahamas"
"Bahamas",12,"Biography","Biography  -  Bahamas"
"Bahamas",189,"Comedy","Comedy  -  Bahamas"
"Bahamas",142,"Crime","Crime  -  Bahamas"
"Bahamas",14,"Documentary","Documentary  -  Bahamas"
"Bahamas",300,"Drama","Drama  -  Bahamas"
"Bahamas",46,"Family","Family  -  Bahamas"
"Bahamas",43,"Fantasy","Fantasy  -  Bahamas"
"Bahamas",5,"Game Show","Game Show  -  Bahamas"
"Bahamas",3,"History","History  -  Bahamas"
"Bahamas",33,"Horror","Horror  -  Bahamas"
"Bahamas",1,"Music","Music  -  Bahamas"
"Bahamas",36,"Mystery","Mystery  -  Bahamas"
"Bahamas",9,"Reality TV","Reality TV  -  Bahamas"
"Bahamas",73,"Romance","Romance  -  Bahamas"
"Bahamas",23,"Sci Fi","Sci Fi  -  Bahamas"
"Bahamas",7,"Sport","Sport  -  Bahamas"
"Bahamas",88,"Thriller","Thriller  -  Bahamas"
"Bahamas",2,"War","War  -  Bahamas"
"Bahrain",206,"Action","Action  -  Bahrain"
"Bahrain",3,"Adult","Adult  -  Bahrain"
"Bahrain",112,"Adventure","Adventure  -  Bahrain"
"Bahrain",36,"Animation","Animation  -  Bahrain"
"Bahrain",18,"Biography","Biography  -  Bahrain"
"Bahrain",169,"Comedy","Comedy  -  Bahrain"
"Bahrain",136,"Crime","Crime  -  Bahrain"
"Bahrain",14,"Documentary","Documentary  -  Bahrain"
"Bahrain",329,"Drama","Drama  -  Bahrain"
"Bahrain",20,"Family","Family  -  Bahrain"
"Bahrain",48,"Fantasy","Fantasy  -  Bahrain"
"Bahrain",9,"Game Show","Game Show  -  Bahrain"
"Bahrain",4,"History","History  -  Bahrain"
"Bahrain",35,"Horror","Horror  -  Bahrain"
"Bahrain",1,"Music","Music  -  Bahrain"
"Bahrain",46,"Mystery","Mystery  -  Bahrain"
"Bahrain",14,"Reality TV","Reality TV  -  Bahrain"
"Bahrain",91,"Romance","Romance  -  Bahrain"
"Bahrain",20,"Sci Fi","Sci Fi  -  Bahrain"
"Bahrain",6,"Sport","Sport  -  Bahrain"
"Bahrain",1,"Talk Show","Talk Show  -  Bahrain"
"Bahrain",79,"Thriller","Thriller  -  Bahrain"
"Bahrain",2,"War","War  -  Bahrain"
"Bahrain",1,"Western","Western  -  Bahrain"
"Bangladesh",223,"Action","Action  -  Bangladesh"
"Bangladesh",2,"Adult","Adult  -  Bangladesh"
"Bangladesh",92,"Adventure","Adventure  -  Bangladesh"
"Bangladesh",31,"Animation","Animation  -  Bangladesh"
"Bangladesh",7,"Biography","Biography  -  Bangladesh"
"Bangladesh",194,"Comedy","Comedy  -  Bangladesh"
"Bangladesh",165,"Crime","Crime  -  Bangladesh"
"Bangladesh",9,"Documentary","Documentary  -  Bangladesh"
"Bangladesh",368,"Drama","Drama  -  Bangladesh"
"Bangladesh",13,"Family","Family  -  Bangladesh"
