"country_name","genres","n"
"Argentina","Action",133
"Argentina","Adult",2
"Argentina","Adventure",103
"Argentina","Animation",57
"Argentina","Biography",11
"Argentina","Comedy",184
"Argentina","Crime",135
"Argentina","Documentary",15
"Argentina","Drama",409
"Argentina","Family",14
"Argentina","Fantasy",37
"Argentina","History",6
"Argentina","Horror",34
"Argentina","Music",34
"Argentina","Mystery",51
"Argentina","Romance",142
"Argentina","Sci-Fi",12
"Argentina","Sport",6
"Argentina","Thriller",82
"Argentina","War",4
"Argentina","Western",3
"Australia","Action",189
"Australia","Adult",2
"Australia","Adventure",137
"Australia","Animation",56
"Australia","Biography",13
"Australia","Comedy",191
"Australia","Crime",145
"Australia","Documentary",25
"Australia","Drama",290
"Australia","Family",43
"Australia","Fantasy",54
"Australia","Game-Show",7
"Australia","History",7
"Australia","Horror",28
"Australia","Music",2
"Australia","Mystery",48
"Australia","News",1
"Australia","Reality-TV",28
"Australia","Romance",79
"Australia","Sci-Fi",55
"Australia","Sport",11
"Australia","Talk-Show",1
"Australia","Thriller",60
"Australia","War",8
"Australia","Western",6
"Austria","Action",197
"Austria","Adult",4
"Austria","Adventure",140
"Austria","Animation",37
"Austria","Biography",16
"Austria","Comedy",190
"Austria","Crime",167
"Austria","Documentary",26
"Austria","Drama",314
"Austria","Family",45
"Austria","Fantasy",65
"Austria","Game-Show",6
"Austria","History",6
"Austria","Horror",36
"Austria","Music",3
"Austria","Mystery",57
"Austria","Reality-TV",12
"Austria","Romance",84
"Austria","Sci-Fi",27
"Austria","Sport",12
"Austria","Thriller",79
"Austria","War",3
"Austria","Western",1
"Bahamas","Action",184
"Bahamas","Adult",3
"Bahamas","Adventure",101
"Bahamas","Animation",77
"Bahamas","Biography",12
"Bahamas","Comedy",189
"Bahamas","Crime",142
"Bahamas","Documentary",14
"Bahamas","Drama",300
"Bahamas","Family",46
"Bahamas","Fantasy",43
"Bahamas","Game-Show",5
"Bahamas","History",3
"Bahamas","Horror",33
"Bahamas","Music",1
"Bahamas","Mystery",36
"Bahamas","Reality-TV",9
"Bahamas","Romance",73
"Bahamas","Sci-Fi",23
"Bahamas","Sport",7
"Bahamas","Thriller",88
"Bahamas","War",2
"Bahrain","Action",206
"Bahrain","Adult",3
"Bahrain","Adventure",112
"Bahrain","Animation",36
"Bahrain","Biography",18
"Bahrain","Comedy",169
"Bahrain","Crime",136
"Bahrain","Documentary",14
"Bahrain","Drama",329
"Bahrain","Family",20
"Bahrain","Fantasy",48
"Bahrain","Game-Show",9
"Bahrain","History",4
"Bahrain","Horror",35
"Bahrain","Music",1
"Bahrain","Mystery",46
"Bahrain","Reality-TV",14
"Bahrain","Romance",91
"Bahrain","Sci-Fi",20
"Bahrain","Sport",6
"Bahrain","Talk-Show",1
"Bahrain","Thriller",79
"Bahrain","War",2
"Bahrain","Western",1
"Bangladesh","Action",223
"Bangladesh","Adult",2
"Bangladesh","Adventure",92
"Bangladesh","Animation",31
"Bangladesh","Biography",7
"Bangladesh","Comedy",194
"Bangladesh","Crime",165
"Bangladesh","Documentary",9
"Bangladesh","Drama",368
"Bangladesh","Family",13
"Bangladesh","Fantasy",31
