"id","n","label","parent"
"total",120995,NA,NA
"total  -  Action",17624,"Action","total"
"total  -  Adventure",10927,"Adventure","total"
"total  -  Animation",4051,"Animation","total"
"total  -  Biography",31,"Biography","total"
"total  -  Comedy",17632,"Comedy","total"
"total  -  Crime",12931,"Crime","total"
"total  -  Drama",31197,"Drama","total"
"total  -  Family",408,"Family","total"
"total  -  Fantasy",4037,"Fantasy","total"
"total  -  Horror",436,"Horror","total"
"total  -  Music",53,"Music","total"
"total  -  Musical",51,"Musical","total"
"total  -  Mystery",4045,"Mystery","total"
"total  -  Romance",9774,"Romance","total"
"total  -  Sci Fi",1244,"Sci Fi","total"
"total  -  Thriller",6554,"Thriller","total"
"total  -  Action  -  Argentina",133,"Argentina","total  -  Action"
"total  -  Adventure  -  Argentina",103,"Argentina","total  -  Adventure"
"total  -  Animation  -  Argentina",57,"Argentina","total  -  Animation"
"total  -  Comedy  -  Argentina",184,"Argentina","total  -  Comedy"
"total  -  Crime  -  Argentina",135,"Argentina","total  -  Crime"
"total  -  Drama  -  Argentina",409,"Argentina","total  -  Drama"
"total  -  Fantasy  -  Argentina",37,"Argentina","total  -  Fantasy"
"total  -  Mystery  -  Argentina",51,"Argentina","total  -  Mystery"
"total  -  Romance  -  Argentina",142,"Argentina","total  -  Romance"
"total  -  Thriller  -  Argentina",82,"Argentina","total  -  Thriller"
"total  -  Action  -  Australia",189,"Australia","total  -  Action"
"total  -  Adventure  -  Australia",137,"Australia","total  -  Adventure"
"total  -  Animation  -  Australia",56,"Australia","total  -  Animation"
"total  -  Comedy  -  Australia",191,"Australia","total  -  Comedy"
"total  -  Crime  -  Australia",145,"Australia","total  -  Crime"
"total  -  Drama  -  Australia",290,"Australia","total  -  Drama"
"total  -  Fantasy  -  Australia",54,"Australia","total  -  Fantasy"
"total  -  Romance  -  Australia",79,"Australia","total  -  Romance"
"total  -  Sci Fi  -  Australia",55,"Australia","total  -  Sci Fi"
"total  -  Thriller  -  Australia",60,"Australia","total  -  Thriller"
"total  -  Action  -  Austria",197,"Austria","total  -  Action"
"total  -  Adventure  -  Austria",140,"Austria","total  -  Adventure"
"total  -  Comedy  -  Austria",190,"Austria","total  -  Comedy"
"total  -  Crime  -  Austria",167,"Austria","total  -  Crime"
"total  -  Drama  -  Austria",314,"Austria","total  -  Drama"
"total  -  Family  -  Austria",45,"Austria","total  -  Family"
"total  -  Fantasy  -  Austria",65,"Austria","total  -  Fantasy"
"total  -  Mystery  -  Austria",57,"Austria","total  -  Mystery"
"total  -  Romance  -  Austria",84,"Austria","total  -  Romance"
"total  -  Thriller  -  Austria",79,"Austria","total  -  Thriller"
"total  -  Action  -  Bahamas",184,"Bahamas","total  -  Action"
"total  -  Adventure  -  Bahamas",101,"Bahamas","total  -  Adventure"
"total  -  Animation  -  Bahamas",77,"Bahamas","total  -  Animation"
"total  -  Comedy  -  Bahamas",189,"Bahamas","total  -  Comedy"
"total  -  Crime  -  Bahamas",142,"Bahamas","total  -  Crime"
"total  -  Drama  -  Bahamas",300,"Bahamas","total  -  Drama"
"total  -  Family  -  Bahamas",46,"Bahamas","total  -  Family"
"total  -  Fantasy  -  Bahamas",43,"Bahamas","total  -  Fantasy"
"total  -  Romance  -  Bahamas",73,"Bahamas","total  -  Romance"
"total  -  Thriller  -  Bahamas",88,"Bahamas","total  -  Thriller"
"total  -  Action  -  Bahrain",206,"Bahrain","total  -  Action"
"total  -  Adventure  -  Bahrain",112,"Bahrain","total  -  Adventure"
"total  -  Animation  -  Bahrain",36,"Bahrain","total  -  Animation"
"total  -  Comedy  -  Bahrain",169,"Bahrain","total  -  Comedy"
"total  -  Crime  -  Bahrain",136,"Bahrain","total  -  Crime"
"total  -  Drama  -  Bahrain",329,"Bahrain","total  -  Drama"
"total  -  Fantasy  -  Bahrain",48,"Bahrain","total  -  Fantasy"
"total  -  Mystery  -  Bahrain",46,"Bahrain","total  -  Mystery"
"total  -  Romance  -  Bahrain",91,"Bahrain","total  -  Romance"
"total  -  Thriller  -  Bahrain",79,"Bahrain","total  -  Thriller"
"total  -  Action  -  Bangladesh",223,"Bangladesh","total  -  Action"
"total  -  Adventure  -  Bangladesh",92,"Bangladesh","total  -  Adventure"
"total  -  Animation  -  Bangladesh",31,"Bangladesh","total  -  Animation"
"total  -  Comedy  -  Bangladesh",194,"Bangladesh","total  -  Comedy"
"total  -  Crime  -  Bangladesh",165,"Bangladesh","total  -  Crime"
"total  -  Drama  -  Bangladesh",368,"Bangladesh","total  -  Drama"
